,text,y,split
1161,spoof comedy carry share laugh sometimes chuckle sometimes guffaw great pleasure occasional belly laugh,1,3
1162,manages transcend sex drug showtunes plot something far richer,1,0
1163,dense character contains thrilling moment,1,2
1164,true pleasure,1,4
1165,lapaglias ability convey grief hope work weaver sensitive reaction make twoactor master class,1,9
1166,reign fire look made without much thought best watched way,1,6
1167,altogether successful time touching reconsideration familiar masterpiece,1,7
1168,root clara paul even like though perhaps emotion closer pity,1,5
1169,best baseball hit theater since field dream,1,2
1170,instead hyperbolic beatcharged urban western unpretentious sociologically pointed slice life,1,3
1171,tune grief could lead man across century,1,6
1172,count monte cristo doesnt transform caviezel star game even rigged two century ago,1,5
1173,doesnt bother cloying preachy equivalent evangelical christian movie maybe filmmaker know likely audience already among faithful,1,3
1174,tolerable diversion suffices triumph however,1,8
1175,director michael dowse superficially understands character doesnt hold contempt,1,3
1176,taste run difficult film absolutely cant miss,1,6
1177,city reminds u realistically nuanced robert de niro performance lucratively engaged shameless selfcaricature analyze 1999 analyze promised threatened later year,1,0
1178,story havent seen big screen story american human being know,1,1
1179,like leon frustrating still oddly likable,1,3
1180,count monte cristo okay surely classic like novel upon based,1,3
1181,stomach rough content worth checking performance alone,1,8
1182,looking aristocratic luminous yet careworn jane hamilton exemplary costume rampling give performance could improved upon,1,1
1183,mafia rap star hood rat butt ugly head regurgitation cinematic violence give brutal birth unlikely likable hero,1,6
1184,tricky topic tadpole much step right direction blend frankness civility compassion,1,3
1185,fun flip terribly hip bit cinematic entertainment,1,4
1186,montia pump lot energy nicely nuanced narrative surround cast quirky stereotyped street character,1,1
1187,fall neatly category good stupid fun,1,5
1188,film performance thrilling,1,4
1189,even tedious scene russian ark mesmerizing,1,1
1190,continued good chemistry carmen juni keep slightly disappointing sequel going enough amusing banter blessedly cursefree keep kid parent entertained,1,7
1191,reggios continual visual barrage absorbing well thoughtprovoking,1,4
1192,unfortunately appears jackie chans u influence starting show hong kong film,1,7
1193,add good fun,1,8
1194,big gorgeous sprawling swashbuckler delivers diversion grand uncomplicated fashion,1,6
1195,wanton slipperiness corpus amiable jerking reshaping physical time space would make great piece watch kid use introduce video art,1,7
1196,stunning overwhelmingly cogent case kissinger calculating war criminal,1,0
1197,sade engaging look controversial eponymous fiercely atheistic hero,1,8
1198,quiet pure elliptical,1,4
1199,kinnear doesnt aim sympathy rather delivers performance striking skill depth,1,0
1200,subtle strength elling never loses touch reality grim situation,1,2
1201,study shade gray offering subtle plot maneuver,1,6
1202,format get used best capture dizzying height achieved motocross bmx rider whose balletic hotdogging occasionally end bonecrushing screwup,1,1
1203,lot virtue eastwood best,1,6
1204,chilling uncommercial look mind jeffrey dahmer serial killer,1,3
1205,though become almost redundant say major kudos go leigh actually casting people look workingclass,1,6
1206,deserves seen anyone even passing interest event shaping world beyond horizon,1,2
1207,reminds u exciting satisfying fantasy cinema approached imagination flair,1,2
1208,thanks scott charismatic roger eisenbergs sweet nephew roger dodger compelling variation company men,1,7
1209,nine queen frighteningly capable debut genre piece also snapshot dangerous political situation verge coming head,1,9
1210,chemistry woman droll scenestealing wit wolfish pessimism anna chancellor make two wedding funeral fun,1,7
1211,amuse provoke adventurous adult specialty venue,1,9
1212,dont know music appreciate film easygoing blend comedy romance,1,0
1213,third time charm yeah baby,1,0
1214,young man finding god accessible touching marrow,1,6
1215,first time year de niro dig deep emotionally perhaps he stirred powerful work costars,1,6
1216,film snag stumblings compensated wryly subversive tone,1,6
1217,inside film conflictpowered plot decent moral trying get tension keep seat affleck jackson good sparring partner,1,7
1218,oldworld meetsnew mesh incarnated movie soundtrack joyful effusion disco bollywood end monsoon wedding sent spirit soaring theater,1,6
1219,effectively creepy fearinducing fearreducing japanese director hideo nakata take superstitious curse chain letter actually applies,1,3
1220,good sense cast actor generally speaking adored moviegoing public khouri get terrific performance,1,8
1221,subtle wellcrafted part chiller,1,8
1222,warm water red bridge quirky poignant japanese explores fascinating connection woman water nature sexuality,1,0
1223,although laced humor fanciful touch refreshingly serious look young woman,1,4
1224,best revenge may living well unlike duma adaptation far likened treasure lengthy jail sentence,1,9
1225,delectable intriguing thriller filled surprise read lip original story two misfit dont stand chance alone together magnificent,1,1
1226,highbrow selfappointed guardian culture need apply loved cool ice last found worthy followup,1,6
1227,creepiest scariest movie come along long long time easily rivaling blair witch others,1,5
1228,maud rolands search unknowable past make haunting literary detective story labute pull neater trick possession make language sexy,1,0
1229,pacino brilliant sleepdeprived dormer increasing weariness much existential physical,1,2
1230,rare bird enough charm make memorable,1,2
1231,manages sweet wickedly satisfying time,1,9
1232,nickleby thing might homosexual undertone eddie murphy think cant get gay pop nathan lane,1,3
1233,sophomore slump director sam mendes segue oscar winner oscarwinning potential smooth sleight hand,1,0
1234,isnt hilarious witty inventive hindsight isnt even dumb,1,4
1235,oldform moviemaking best,1,0
1236,ahhhh revenge sweet,1,4
1237,yakusho shimizu create engaging characterization imamuras lively enjoyable cultural mix,1,5
1238,emerge clearer view gear justice grind death report come share airtime alongside farm report,1,7
1239,ruzowitzky taken mothbally stuff made rather sturdy oldfashioned entertainment,1,8
1240,spite good housekeeping unsavory character wwf mentality white trash war rose surprisingly engaging,1,7
1241,collateral damage finally delivers good schwarzenegger fan,1,9
1242,always something likable marquis de sade,1,8
1243,firsttime director paxton tapped something actor provides frailty dark soul,1,3
1244,part director annesophie birots first feature sensitive extraordinarily wellacted drama,1,0
1245,time learn andrew turnabout fair play every bit awful borchardts coven enjoy anyway,1,7
1246,riveting world war ii moral suspense story deal shadow side american culture racial prejudice ugly diverse form,1,7
1247,tender heartfelt family drama,1,1
1248,difficult absorbing manages convey substance despite repetition inconsistency film far pointed clear,1,8
1249,part work incendiary genius steering clear kneejerk reaction quick solution,1,3
1250,charm original american road movie feasting gorgeous ramshackle landscape filmmaker motherland,1,1
1251,chaikens talent lie evocative accurate observation distinctive milieu lively convincing dialogue creates character,1,1
1252,watchable thats quite memorable experience might,1,6
1253,hupperts superbly controlled display murderous vulnerability ensures malice human face,1,3
1254,thought focused character compliment kura miller thinking visual medium would something wrong,1,1
1255,intelligent childrens movie hit theater year,1,6
1256,remember kind hoping eck v sever xxx going,1,3
1257,prurient squeamish daring overlong examination idolized culture selfloathing sexual politics,1,2
1258,cartoon thats truly cinematic scope story thats compelling heartfelt even heart belongs big fourlegged herbivore,1,0
1259,film almost unbearable portrait sadness grief transcends specific story speak way need history presumption tangle sometimes destroy blood tie,1,9
1260,travel fascinating arc hope euphoria reality disillusionment,1,2
1261,polished wellstructured,1,7
1262,there something auspicious daring artistic instinct push majorityoriented director like steven spielberg follow challenging report liable unnerve majority,1,4
1263,anyone unfamiliar pentacostal practice general theatrical phenomenon hell house particular eyeopener,1,8
1264,seems like waiting whole life cant wait sequel,1,8
1265,bit disappointing manages decent instead dead brilliant,1,7
1266,apesar de seus graf problemas filme consegue entreter,1,9
1267,operatic sprawling picture thats entertainingly acted magnificently shot gripping enough sustain 170minute length,1,8
1268,far future may awesome consider period detail matter heart transporting stay put past,1,7
1269,inspires continuing deeply satisfying awareness best movie monumental picture show,1,0
1270,awesome creature breathtaking scenery epic battle scene add another spectacular spectacle,1,5
1271,candidly detailing politics involved creation extraordinary piece music jones call attention inherent conflict commerce creativity,1,8
1272,unnerving see recoings bizzarre reaction unemployment good glum,1,5
1273,much might interested gratuitous sexualization haneke different objective mindnamely implication craving fake stimulation,1,0
1274,dazzling complexity disturbing extraordinary theme piano teacher defies categorisation haunt horrifies startle fascinates impossible look away ah yes there music,1,3
1275,charm spare unlike many romantic comedy alienate either gender audience,1,8
1276,although jackson doubtless reserving darkest hour return king long greater sense urgency two tower,1,1
1277,great summer fun watch arnold buddy gerald bounce quirky cast character,1,9
1278,bleakly funny character touching refusing pity memorialize,1,6
1279,appeal impatient like long book movie admire way accumulates power depth,1,4
1280,flick cool crowdpleasing documentary get,1,7
1281,ring pretty much englishlanguage copy inspired carry strength flaw,1,7
1282,wild thornberrys jolly surprise,1,1
1283,griffith prof shes rare luminary continually raise standard profession,1,4
1284,prancing way tailormade part male hooker approaching end vitality jagger obviously relish every selfmocking moment,1,5
1285,sexy romantic,1,0
1286,offer much enjoy lot mull term love loyalty nature staying friend,1,1
1287,important reminder power move u make u examine value,1,7
1288,love masochism binoche make interesting trying find,1,9
1289,pleasant forgettable romp,1,6
1290,mesmerizing performance lead keep grounded keep audience riveted,1,2
1291,worth watching dong jies performance way document culture throe rapid change,1,6
1292,two hour fly opera pleasure dont endure intermission even form come away exhilarated,1,5
1293,heck character study hearst davy unique relationship,1,9
1294,candid camera methamphetamine,1,9
1295,subject like inspire reaction audience pianist,1,2
1296,equilibrium george orwell might imagined today moodaltering drug therapy envisioned chemist 1949,1,8
1297,creepy authentic dark disturbing biopic hard forget,1,8
1298,martin barbara complex character sometimes tender sometimes angry delicate performance sven wollter viveka seldahl make hope frustration vivid,1,8
1299,twisty moody slice southern gothic,1,4
1300,good practically see hollywood suit trying put together cast filmmaking team alltoo inevitable american remake,1,1
1301,weight piece unerring professionalism chilly production fascination embedded lurid topic prove recommendation enough,1,0
1302,absurdist comedy alienation separation loss,1,9
1303,begin end scene terrifying im still stunned ive decided leave light every night,1,7
1304,tenth feature big deal indeed least thirdbest maybe even notch previous runnerup nicholas meyers star trek vi undiscovered country,1,5
1305,bourne identity return traditional action genre,1,8
1306,beneath cloud succinct lowbudget whose compelling character intelligent script exactly missing rabbitproof fence,1,1
1307,contrivance artificial video game japanese teen play nightclub sequence enjoyable,1,1
1308,holm embodies character effortlessly regal charisma,1,7
1309,amusing thats need,1,0
1310,among year intriguing exploration alientation,1,2
1311,full world presented onscreen series carefully structured plot point building pat resolution,1,6
1312,seldom closely matched spirit man work,1,0
1313,audrey tatou knack picking role magnify outrageous charm literate french comedy shes morningglory exuberant amélie,1,7
1314,infectious exuberance engage anyone passing interest skatesurf culture l beach scene imaginative sometimes illegal way kid make playground refuse adult,1,9
1315,even dont think kissinger guilty criminal activity contemporary statesman hed sure make courtroom trial great fun watch,1,4
1316,story structure wellhoned fresnadillos dark jolting image way plying subconscious like nightmare week ago wont go away,1,3
1317,made deftly unsettling genre flair,1,6
1318,may inspire younger moviegoer read stevenson book treasure,1,9
1319,funny perilously slight,1,8
1320,overall good trying,1,2
1321,forgettable horror gory psychological highly satisfying quotient fridaynight excitement milla power,1,0
1322,ramsay ratcatcher remains filmmaker acid viewpoint real gift teasing chilly poetry life setting might otherwise seem drab sordid,1,1
1323,may seem long 110 minute youre fan includes segment 12 song reunion concert,1,0
1324,lean deftly shot wellacted weirdly retro thriller recall raft 60 70 europeanset spy picture,1,7
1325,prof quite compelling intense brooding character study,1,1
1326,son room triumph gentility earns moment pathos,1,8
1327,morton us face body language bring u morverns soul even though character almost completely deadpan,1,6
1328,may appear naked narrative form go deeper fundamental choice include complexity catholic doctrine,1,9
1329,superbly acted funnygritty fable humanizing woman hand unseen force fate,1,5
1330,smartest take single culture ive seen long time,1,1
1331,fabric complex idea feeling profoundly deepen,1,6
1332,cqs reflection artist love cinemaandself suggests nothing le new voice deserves considered possible successor best european director,1,3
1333,emotion raw strike nerve anyone who ever family trauma,1,1
1334,holy mad maniac mask splatman good oldfashioned slashandhack back,1,8
1335,unseemly title suggests,1,0
1336,end youre definitely convinced woman spectacular,1,1
1337,french rather good kind thing unlike american passion musketeer spoof,1,3
1338,flyonthewall method used document rural french school life refreshing departure prevalent technique documakers visible part work,1,6
1339,offbeat treat poke fun democratic exercise also examining significance take part,1,4
1340,allows u hope nolan poised embark major career commercial yet inventive filmmaker,1,6
1341,maneuver skillfully plot hot brine undone sogginess contemporary character actor,1,9
1342,ability offend put everyone hold outrageousness,1,8
1343,anchored friel williams exceptional performance film power lie complexity nothing black white,1,4
1344,charming often affecting journey,1,0
1345,psychologically savvy,1,7
1346,screen fantasyadventure recent memory showmanship clone last 45 minute,1,6
1347,poignant compelling story relationship food love take u bumpy satisfying journey heart,1,3
1348,birot creates drama welldefined sense place age 15 year old torment angst become almost operatic u character,1,4
1349,chateau cleverly probe crosscultural difference gaul yank,1,4
1350,since tom cruise risky business actor made strong impression underwear,1,2
1351,aside minor tinkering probably loved 1994 except look even better,1,7
1352,us high comedy evoke surprising poignance,1,9
1353,confirms finchers status maker artfully bend technical knowhow service psychological insight,1,3
1354,veras three actor mollà gil bardem excel insightful empathetic performance,1,5
1355,marvel like none youve seen,1,3
1356,tightly organized efficiency numerous flashback constant edge tension miller 2002s involvingly adult surprise,1,4
1357,mr tsai original artist medium time seen least spasm absurdist humor,1,3
1358,writerdirector mark romanek spotlight underlying caste system america scathing portrayal,1,0
1359,good script good dialogue funny even adult character interesting often creatively constructed figure backstory play equally well standard giant screen,1,8
1360,moody heartbreaking filmed natural unforced style make character seem entirely convincing even script,1,5
1361,rival live fine little amusebouche keep appetite whetted,1,3
1362,true tale courage complicity auschwitz harrowing drama try tell unspeakable,1,9
1363,give steady pulse life beautiful city viewed eye character spite tragic loss increasing decrepitude know bone luckiest men alive,1,5
1364,macdowell whose wifty southern charm anchored lighter affair brings absolutely riveting conviction role,1,2
1365,time easy haunt cant forget admire conception able resolve confusion watching,1,5
1366,actor relate search inner peace dramatically depicting life others onstage esther story compelling quest truth,1,1
1367,although level comedy decline proceeds there denying fun watching de niro crystal fun,1,7
1368,claude chabrol thriller without thrill thats okay,1,3
1369,lover well opera lover tosca real treat,1,4
1370,unflinchingly bleak desperate,1,0
1371,morettis compelling anatomy grief difficult process adapting loss,1,8
1372,challenging intermittently engrossing unflaggingly creative long convoluted end muddle,1,7
1373,vivid lead performance sustain interest empathy journey far interesting final destination,1,1
1374,painfully funny ode bad behavior,1,0
1375,easily choice year best film,1,7
1376,charles entertaining chronicle seinfelds return standup comedy wrap legendary sitcom alongside wannabe comic adam attempt get shot big time,1,7
1377,dogged good parent vain jias defoliation ego make touching despite doldrums,1,1
1378,fan cant stop loving anime fanatical excess built,1,2
1379,volatile dynamic female friendship subject unhurried lowkey offhollywood seems positively french rhythm resonance,1,6
1380,densely constructed highly referential audacious return form comfortably sit among jeanluc godard finest work,1,1
1381,michael gerbosis script economically packed telling scene,1,3
1382,strangely compelling brilliantly acted psychological drama,1,8
1383,candid comfortable deftly balance action reflection let grasp feel passion others work,1,7
1384,openminded kid kid read kid dream comforted way deal big issue like death destiny,1,8
1385,bennett naturalistic performance speaks volume truth reality show anybody contemplating drastic life change watch body first,1,1
1386,good entirely fresh look war,1,2
1387,powerful accessible funny wont miss message youll entertained well,1,8
1388,frailty start like typical bible killer story turn significantly different better film theme,1,2
1389,dig david mamet mind trick rent enjoy,1,5
1390,primitive force seems bubble vast collective memory combatant like watching nightmare made flesh,1,9
1391,sheer selfish woundlicking barscrapping doggedness leon struggle face transmute demon make spirited touching occasion despite patchy construction,1,2
1392,gorgeous highspirited musical india exquisitely blend music dance song high drama,1,0
1393,hard imagine alan arkin better performance,1,2
1394,pride sophisticated discerning taste might seem like proper cup tea however almost guaranteed even stuffiest cinema goer laugh hourandahalf,1,3
1395,despite 2d animation wild thornberrys make surprisingly cinematic experience,1,8
1396,fun little timewaster helped especially cool presence jean reno,1,9
1397,majidi make u think twice immigrant see around u every day,1,0
1398,though 60 minute long packed information impression,1,8
1399,way knowing exactly much exaggeration ive got creepy feeling closer mark want believe,1,6
1400,immersing u endlessly inventive fiercely competitive world hiphop dj project sensational revelatory even scratching make itch,1,3
1401,proof epicenter cool beautiful thoughtprovoking foreign cinema smackdab middle dubya axis evil,1,8
1402,there really good idea director run present unforgettable visual panache,1,3
1403,simple gritty wellacted ensemble drama encompasses potent metaphor country still dealing fascist past,1,4
1404,lovely poignant put human face land westerner unfamiliar,1,7
1405,cant say liked homeboy itd accurate say found intriguing bizarre dogmalike spot quite truthful way,1,3
1406,displaying equal amount naiveté passion talent beneath cloud establishes sen filmmaker considerable potential,1,7
1407,vitality actor keep intensity high even strafings blend together,1,6
1408,since japanese filmmaker akira kurosawa ran savagery combat specter death visualized operatic grandeur,1,1
1409,learn lot dying coral see lot life reef,1,8
1410,first men black money second small change still jingle pocket fun lite,1,0
1411,passable entertainment kind motion picture wont make much splash released remembered long afterwards,1,9
1412,loved every minute,1,8
1413,winning ensemble comedy show canadian put gentle laugh equally gentle sentiment button easily counterpart anywhere else world,1,9
1414,moving uplifting funny ever,1,9
1415,wife actress utterly charming french comedy feel american sensibility style virtually hollywood remake,1,6
1416,grip even viewer arent interested rap cut heart american society unnerving way,1,7
1417,muckraking job cinematic equivalent legal indictment fairly effective,1,1
1418,tender witty captivating friendship love memory trust loyalty,1,8
1419,belongs daniel daylewis much belongs martin scorsese memorable performance big disturbing unusual highly successful,1,5
1420,exhilarating futuristic minority report twist best technology around gripping story delivering riveting pulse intensifying escapist adventure first order,1,9
1421,psychological thriller genuinely spooky premise aboveaverage cast actor bill paxton directing debut creepy slice gothic rural americana,1,5
1422,local get kick spotting cleveland site rest world enjoy fastpaced comedy quirk might make awardwinning coen brother envious,1,8
1423,pumpkin take admirable look hypocrisy political correctness uneven tone never know humor end tragedy begin,1,0
1424,youre hard raunchy college humor ticket right,1,6
1425,film capture perfectly hope dream little boy baseball field well grown men sit stand,1,4
1426,corny schmaltzy predictable still manages kind heartwarming nonetheless perfect kind see dont want use brain,1,3
1427,regard 1967 key turning point 20th century return image dissident street alarmingly current,1,6
1428,feature debuter j caruso directs crack ensemble cast bringing screenwriter tony gaytons narcotic noir life,1,3
1429,every dance becomes seduction backstabbing betrayal celebrated sex currency,1,3
1430,harris command screen using frailty suggest ravage life corruption ruthlessness,1,0
1431,stephen rea aidan quinn alan bates play desmonds legal eagle joined brosnan sight grandiloquent quartet lolling pretty irish setting pleasant enough thing ti,1,0
1432,director photography benoit delhomme shot delicious color costume set grand,1,6
1433,movie relatively simple plot uncomplicated morality play well affable cast,1,2
1434,quiet threatening unforgettable,1,5
1435,illuminating documentary transcends preconceived vision holy land inhabitant revealing human complexity beneath,1,7
1436,deliriously funny fast loose accessible uninitiated full surprise,1,5
1437,trademark american triteness simplicity tossed window intelligent french drama deftly explores difficult relationship father son,1,6
1438,heart,1,4
1439,concerned sade idea action achieves great impact keeping thought hidden quill showing,1,2
1440,entertaining colorful actionfilled crime story intimate heart,1,2
1441,undisputed isnt exactly high gripping tidy little take mr hill higher he,1,9
1442,compelling wiseman epic recent year,1,0
1443,sociohistopolitical treatise told earnest stride personal illusion deconstructed poignancy,1,6
1444,great escapist fun recreates place time never happen,1,2
1445,good car chase great fight scene distinctive blend european american asian influence,1,7
1446,liotta put 30 pound role completely transformed smooth goodfellas image,1,6
1447,woman pic directed resonance ilya chaiken,1,4
1448,contando com uma premissa curiosa filme mergulha espectador em um clima de forte suspense culminando em um desfecho que certamente fica na memória,1,3
1449,grant bumbling magic take turn another winning star vehicle,1,9
1450,brian de palma utterly mad cinema mad setpiece mad style mad beautiful madness,1,8
1451,generally provides target audience youngster enough stimulating eye ear candy make moral medicine go,1,7
1452,wonderfully fresh moment smooth moral stiffness human kindness hopefulness,1,3
1453,grimly competent stolid earnest military courtroom drama,1,7
1454,escaping studio piccoli warmly affecting adroitly minimalist,1,7
1455,psychoanalytical provocatively also refreshingly literary,1,4
1456,gorgeous witty seductive,1,1
1457,special effect many scene weightlessness look good better original oscarwinning sound james horners rousing score make good use hefty audio system,1,0
1458,heel ring come similarly morose humorless horror although flawed commended straightahead approach creepiness,1,9
1459,rabbitproof fence noyce tailored epic tale lean economical,1,6
1460,utterly charming hilarious reminded best disney comedy 60,1,7
1461,preaches two completely different choir time pretty amazing accomplishment,1,5
1462,thanks haynes absolute control film mood buoyed three terrific performance far heaven actually pull stylistic act,1,0
1463,birthday girl amusing joy ride surprisingly violent moment,1,2
1464,romantic emotional ultimately satisfying tearyeyed original,1,8
1465,appealingly juvenile trifle delivers share laugh smile,1,8
1466,writerdirectors mehtas effort ton charm whimsy mixture intoxicating masala culture genre,1,0
1467,draw big bad love solid performance arliss howard,1,6
1468,get onto screen much novella could reasonably expect engrossing moving right,1,2
1469,terrific bewilderingly underrated campbell scott give star performance nothing short mesmerizing,1,0
1470,cool snow emergency,1,2
1471,like mike isnt interested recycling old cliche want tweak taste tangy new humor,1,0
1472,smith careful make fun curious owner architectural oddity instead show respect due,1,6
1473,mess come character writing work way underneath skin like movie recent memory,1,2
1474,drop dizzying volatile pressurecooker situation quickly snowball control focusing much,1,4
1475,zhang done amazing job getting realistic performance mainly nonprofessional cast,1,4
1476,solid examination male midlife crisis,1,7
1477,youre mood bollywood here,1,9
1478,two lead lathan diggs charming chemistry friend lover,1,2
1479,beguiling slowmoving parable collision past present remote seacoast iran,1,5
1480,big fat greek wedding us stereotype delightful blend sweet romance lovingly dished humor,1,4
1481,kept aloft largely comically adept ensemble,1,6
1482,sort make miss hitchcock also feel optimistic there hope popular cinema yet,1,1
1483,firsttime writerdirector serry show remarkable gift storytelling moving effective little,1,4
1484,cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life wherever take,1,0
1485,atom egoyan conjured multilayered work tackle number fascinating issue,1,4
1486,essentially exceptionally wellwritten welledited welldirected wellacted bald ripoff alien,1,0
1487,de niro veritable source sincere passion hollywood contrivance orbit around,1,2
1488,whole quite entertaining despite virtue unsettled feeling,1,1
1489,careful pace seemingly opaque story may satisfy every moviegoer appetite film final scene soaringly transparently moving,1,6
1490,hardly masterpiece introduces viewer good charitable enterprise interesting real people,1,2
1491,based devilishly witty script heather mcgowan niels mueller get great laugh never expense character,1,5
1492,somewhat clumsy lethargically paced story mysterious creature psychic ability offer solid buildup terrific climax nice chill along way,1,7
1493,youve ever wondered ending without input studio executive test audience would look like,1,4
1494,exciting direct ghost imagery show enough keep u toe,1,8
1495,whether writerdirector anne fontaines ghost story account nervous breakdown trip memory lane three none seductive haunting,1,2
1496,lack general focus make compassion corcuera manages find seed hope form collective action,1,5
1497,enjoy thoughtful comedy interesting conflicted character,1,5
1498,quality art combined humor intelligence script allow filmmaker present biblical message forgiveness without ever becoming preachy syrupy,1,5
1499,seems thirsty reflection taking adolescent quality,1,7
1500,another estrogen overdose movie like divine secret ya ya sisterhood except writing acting character development lot better,1,0
1501,breezy romantic comedy punch good sitcom offering exceptionally welldetailed character,1,4
1502,romantic comedy enriched sharp eye manner more,1,7
1503,viewer ring likely remember haunting image plot hole,1,5
1504,delightful comingofage story,1,6
1505,energetic surprise original plea almost everyone see,1,8
1506,exquisitely crafted acted tale,1,7
1507,taut psychological thriller doesnt waste moment twohour running time,1,2
1508,jones offer brutal form charisma,1,8
1509,despite title punchdrunk love never heavyhanded jab employ short carefully placed deadcenter,1,9
1510,there wickedly subversive bent best part birthday girl,1,6
1511,likely expertly drum repressed teenage memory viewer,1,3
1512,blanchetts performance confirms power,1,7
1513,magnificent drama well worth tracking,1,0
1514,good piece work often,1,6
1515,understands like others depth breadth emotional intimacy give physical act meaning pleasure,1,0
1516,distinguishes time favor countless thriller underlying concern consequence word complicated emotion fueling terrorist act,1,4
1517,smart provocative blisteringly funny,1,9
1518,nothing sacred gutbuster,1,6
1519,occasionally threatens become didactic grounded reality character go edge touch humor unexpected plot twist always pull back,1,5
1520,filmmaker deftly change mood treasure even marvel comedy mild culture clashing today new delhi,1,8
1521,steven soderberghs solaris failure glorious failure,1,0
1522,mostly martha bright light modern day family parable wear heart sleeve see,1,2
1523,scattershot affair hit mark brilliant,1,7
1524,pleasant enough romance intellectual underpinnings kind entertains even turn maddeningly predictable,1,4
1525,featuring dangerously seductive performance great daniel auteuil sade cover period kaufmanns quill unsettlingly realistic result,1,1
1526,spellbinding african modern condition rootlessness state experienced million around globe,1,2
1527,work artist control medium message improvise like jazzman,1,7
1528,moody multidimensional love story scifi mystery solaris thoughtprovoking haunting allows seed imagination germinate,1,1
1529,wellmade funny entertaining picture,1,4
1530,giggleinducing comedy snappy dialogue winning performance unlikely team oscarwinners susan sarandon goldie hawn,1,8
1531,maker steven spielberg hasnt much fun two decade since schlepping indiana jones around globe search giant misplaced ashtray,1,3
1532,oscar wilde masterpiece importance earnest may best play 19th century good relentless polished wit withstand inept school production even oliver parker adaptation,1,9
1533,good job laying major issue encounter journey life,1,2
1534,brilliantly explores conflict following one heart following demand tradition,1,7
1535,remake get get peculiar premise promise al pacino loathing robin williams,1,2
1536,next generation mob part low rent godfather part three stooge,1,9
1537,lan yu time restrained yet moment capture erotic intimacy way make american love story look downright unfree,1,8
1538,thinly veiled look different aspect chinese life clashing,1,6
1539,light year several warp speed level level dilithium crystal better pitiful insurrection isnt say equal predecessor,1,9
1540,delightfully rendered,1,6
1541,story must told retold indeed must grey zone lauded finding new ingenious angle,1,5
1542,lion king roaring success released eight year ago imax seems better bigger,1,0
1543,gripping played performance understated touching,1,9
1544,piece play well thanks large measure anspaughs three lead actress,1,3
1545,inspirational screenplay mike rich cover lot ground perhaps much tie thing together neatly end,1,0
1546,kind appeal mainstream american audience certain charm make suitable entry fest circuit,1,2
1547,director andrew niccol demonstrates wry understanding quirk fame healthy sense satire light fun,1,7
1548,mangalike heroine fight back abuser energetic satisfying deep psychological,1,4
1549,human comedy amusing interesting confirming,1,2
1550,artful intelligent stay within confines wellestablished genre,1,5
1551,majidi unconventional storyteller capable finding beauty depressing place,1,1
1552,richard gere diane lane put fine performance french actor oliver martinez,1,1
1553,minor figure surrounding bobby form gritty urban mosaic,1,0
1554,wild surreal stuff brilliant camera kind sits let look like youre going room next none relation,1,8
1555,demented kitsch mess although smeary digital video match muddled narrative savvy celebrity gut energy much open year,1,5
1556,nothing outstanding good enough likely appreciated sailor folk know way around submarine,1,4
1557,allinall enjoyable frankly told tale people live among u necessarily u,1,1
1558,interesting story pertinent cinematically unique message told fairly well scored perfection found struggling put finger elusive missing thing,1,4
1559,real anarchic flair,1,6
1560,welcome relief baseball movie try hard mythic sweet modest ultimately winning story,1,0
1561,crisp psychological drama fascinating little thriller would perfect old twilight zone episode,1,6
1562,moment insightful enough fondly remembered endlessly challenging maze moviegoing,1,8
1563,opening contrived banter cliche loose end screenplay come second half,1,6
1564,uncluttered resonant gem relay universal point without lecture confrontation,1,5
1565,cockettes provides window subculture hellbent expressing every way imaginable,1,8
1566,smart steamy mix road comingofage story political satire,1,7
1567,modernday royal nothing guy come scandal fairy tale princess married political reason live happily ever,1,0
1568,terrific b fact best recent memory,1,1
1569,birthday girl actor first foremost,1,2
1570,walked away new version e hoped would moist eye,1,4
1571,devotee french cinema safe conduct rich period minutia like dying going celluloid heaven,1,8
1572,whats really appealing character resemblance everyday child,1,8
1573,shamelessly resorting peerelated sight gag might even cause tom green grimace still myers energy silliness eventually prevail,1,8
1574,absurdist spider web,1,6
1575,youre happy listening movie watching slow parade human frailty fascinates youre right,1,2
1576,version move beyond original nostalgia communal experience yesteryear deeper realization cinema inability stand true lived experience,1,4
1577,movie blend together become distant memory mention solaris five year im sure saw opinion share,1,0
1578,allen funniest likeable year,1,5
1579,glorious spectacle like w griffith made early day silent,1,9
1580,comic gem delightful derivative,1,2
1581,timely director could ever dreamed quietly lyrical tale probe ambiguous welcome extended iran afghani refugee streamed across border desperate work food,1,5
1582,leaping story line shaped director peter kosminsky sharp sliver cutting impression show sign rich detail condensed evocative image striking character trait,1,3
1583,three excellent principal singer youthful goodlooking diva tenor richly handsome location enough make wish jacquot left well enough alone filmed opera without distortion perspective,1,7
1584,production made enormous amount affection believe character love,1,4
1585,certainly performance worthwhile,1,2
1586,e la mejor cinta de la serie ni la mejor con brosnan la cabeza pero de que entretiene ni duda cabe,1,1
1587,wind revelatory narcissistic achieving honest insight relationship highconcept film candycoat pat storyline precious circumstance beautiful star,1,2
1588,watching eccentric inspiring pure joy,1,4
1589,steven spielberg brings u another masterpiece,1,7
1590,finally frenchproduced read lip understands character must come first,1,0
1591,m seigner mr serrault bring fresh unforced naturalism character,1,2
